1、四则运算题目1: 76-34+13=
143、四则运算题目143: 93+94=
144、四则运算题目144: 55-23=
145、四则运算题目145: 85-2=
146、四则运算题目146: 93-0=
147、四则运算题目147: 4+66-21=
148、四则运算题目148: 6-6+10=
149、四则运算题目149: 55+12-49=
150、四则运算题目150: 22-5=
151、四则运算题目151: 17+79=
152、四则运算题目152: 3+92=
153、四则运算题目153: 67-65-1=
154、四则运算题目154: 82-5-40=
155、四则运算题目155: 39-13=
156、四则运算题目156: 83+9+19=
157、四则运算题目157: 71-11=
158、四则运算题目158: 17-2-12=
159、四则运算题目159: 78-74-3=
160、四则运算题目160: 74-28=
161、四则运算题目161: 48+86-62=
162、四则运算题目162: 33-1+66=
163、四则运算题目163: 77+89+23=
164、四则运算题目164: 32-2=
165、四则运算题目165: 70+15=
166、四则运算题目166: 68+46=
167、四则运算题目167: 97+39=
168、四则运算题目168: 24+55=
169、四则运算题目169: 46-26-10=
170、四则运算题目170: 3+55+97=
171、四则运算题目171: 57+44=
172、四则运算题目172: 16-16+58=
173、四则运算题目173: 40-16-9=
174、四则运算题目174: 74-7=
175、四则运算题目175: 96+76+8=
176、四则运算题目176: 84+70+25=
177、四则运算题目177: 66-61=
178、四则运算题目178: 81+81+44=
179、四则运算题目179: 69+99+19=
180、四则运算题目180: 40+61+98=
181、四则运算题目181: 35+79-79=
182、四则运算题目182: 81+75-88=
183、四则运算题目183: 47+98=
184、四则运算题目184: 3+72-38=
185、四则运算题目185: 78-54+64=
186、四则运算题目186: 62-2=
187、四则运算题目187: 16+7=
188、四则运算题目188: 61-44-16=
189、四则运算题目189: 82+21-65=
190、四则运算题目190: 22+13-32=
191、四则运算题目191: 18-10+49=
192、四则运算题目192: 6+33=
193、四则运算题目193: 74+25=
194、四则运算题目194: 31-3=
195、四则运算题目195: 88+6-37=
196、四则运算题目196: 10+68-72=
197、四则运算题目197: 76+52=
198、四则运算题目198: 63-2-42=
199、四则运算题目199: 39-25=
200、四则运算题目200: 41+50-74=
201、四则运算题目201: 81-62=
202、四则运算题目202: 63+25-47=
203、四则运算题目203: 71-37+60=
204、四则运算题目204: 3+88-20=
205、四则运算题目205: 65+61-65=
206、四则运算题目206: 29+65+50=
207、四则运算题目207: 24+44=
208、四则运算题目208: 86+73=
209、四则运算题目209: 26+27=
210、四则运算题目210: 95+57=
211、四则运算题目211: 26-8+57=
212、四则运算题目212: 41-16-14=
213、四则运算题目213: 44-10=
214、四则运算题目214: 41-20+24=
215、四则运算题目215: 61-51=
216、四则运算题目216: 51+28=
217、四则运算题目217: 56+19=
218、四则运算题目218: 71+3-62=
219、四则运算题目219: 24+23=
220、四则运算题目220: 61-51-7=
221、四则运算题目221: 94-36+43=
222、四则运算题目222: 16-10=
223、四则运算题目223: 35-2+26=
224、四则运算题目224: 34+98=
225、四则运算题目225: 79-5+93=
226、四则运算题目226: 61+63-23=
227、四则运算题目227: 17+8+11=
228、四则运算题目228: 25+59-68=
229、四则运算题目229: 70+25-86=
230、四则运算题目230: 97+56=
231、四则运算题目231: 34-17=
232、四则运算题目232: 12-5=
233、四则运算题目233: 84-5=
234、四则运算题目234: 68+67=
235、四则运算题目235: 76-47=
236、四则运算题目236: 9-1=
237、四则运算题目237: 54+45-41=
238、四则运算题目238: 91+52-33=
239、四则运算题目239: 13+14-18=
240、四则运算题目240: 80-26+41=
241、四则运算题目241: 48+79-1=
242、四则运算题目242: 91+12+38=
243、四则运算题目243: 55-23-16=
244、四则运算题目244: 62-14=
245、四则运算题目245: 71-42=
246、四则运算题目246: 42-0+3=
247、四则运算题目247: 18+32=
248、四则运算题目248: 15+7=
249、四则运算题目249: 5+2=
250、四则运算题目250: 25+31-24=
251、四则运算题目251: 19-1-4=
252、四则运算题目252: 40-6=
253、四则运算题目253: 98+48-42=
254、四则运算题目254: 16-0+29=
255、四则运算题目255: 88-79-7=
256、四则运算题目256: 14-11=
257、四则运算题目257: 40-23-7=
258、四则运算题目258: 71+83-10=
259、四则运算题目259: 83-71=
260、四则运算题目260: 47+32+93=
261、四则运算题目261: 89-89-0=
262、四则运算题目262: 47-42+73=
263、四则运算题目263: 5+47-7=
264、四则运算题目264: 63-43-0=
265、四则运算题目265: 8-0=
266、四则运算题目266: 64+36=
267、四则运算题目267: 20+45+47=
268、四则运算题目268: 17-11=
269、四则运算题目269: 78+78+94=
270、四则运算题目270: 36+55-18=
271、四则运算题目271: 87-27+46=
272、四则运算题目272: 55-0=
273、四则运算题目273: 14+80=
274、四则运算题目274: 92-32+49=
275、四则运算题目275: 94+89-17=
276、四则运算题目276: 9-4+3=
277、四则运算题目277: 48+60+54=
278、四则运算题目278: 52-14-36=
279、四则运算题目279: 39+72=
280、四则运算题目280: 16+59=
281、四则运算题目281: 24+34=
282、四则运算题目282: 83-74+77=
283、四则运算题目283: 49-34=
284、四则运算题目284: 57-35=
285、四则运算题目285: 6+22-28=
286、四则运算题目286: 70+66=
287、四则运算题目287: 23+75+40=
288、四则运算题目288: 92-21+21=
289、四则运算题目289: 56-56-0=
290、四则运算题目290: 29-20-8=
291、四则运算题目291: 73-0=
292、四则运算题目292: 91-88-3=
293、四则运算题目293: 42-24=
294、四则运算题目294: 83+17+33=
295、四则运算题目295: 2+81=
296、四则运算题目296: 15+74+10=
297、四则运算题目297: 55-39=
298、四则运算题目298: 60-16+82=
299、四则运算题目299: 26-20+75=
300、四则运算题目300: 96-15=
301、四则运算题目301: 32+0=
302、四则运算题目302: 12+52+26=
303、四则运算题目303: 91+4-56=
304、四则运算题目304: 46+57+62=
305、四则运算题目305: 25+74=
306、四则运算题目306: 91-44+89=
307、四则运算题目307: 66+43-31=
308、四则运算题目308: 88-50+76=
309、四则运算题目309: 13-9-4=
310、四则运算题目310: 75-45=
311、四则运算题目311: 34-8-21=
312、四则运算题目312: 23+73+43=
313、四则运算题目313: 43-12-10=
314、四则运算题目314: 58-26=
315、四则运算题目315: 96+80+92=
316、四则运算题目316: 13+97+66=
317、四则运算题目317: 37-30=
318、四则运算题目318: 14+44=
319、四则运算题目319: 55+69=
320、四则运算题目320: 1-1+44=
321、四则运算题目321: 57+76=
322、四则运算题目322: 91-21=
323、四则运算题目323: 88-29+37=
324、四则运算题目324: 71-25-2=
325、四则运算题目325: 56+33-42=
326、四则运算题目326: 69-31-15=
327、四则运算题目327: 40-1=
328、四则运算题目328: 78+98+72=
329、四则运算题目329: 13+54=
330、四则运算题目330: 72-49-12=
331、四则运算题目331: 25+58=
332、四则运算题目332: 96-41=
333、四则运算题目333: 24+73-89=
334、四则运算题目334: 49-32=
335、四则运算题目335: 36-27=
336、四则运算题目336: 77+53-79=
337、四则运算题目337: 63+17+68=
338、四则运算题目338: 61+62=
339、四则运算题目339: 14+50-28=
340、四则运算题目340: 9-8+48=
341、四则运算题目341: 99-87=
342、四则运算题目342: 38+54-65=
343、四则运算题目343: 62-45=
344、四则运算题目344: 83-75=
345、四则运算题目345: 67+35-77=
346、四则运算题目346: 74-52+74=
347、四则运算题目347: 75-27=
348、四则运算题目348: 7+32-14=
349、四则运算题目349: 8-3-3=
350、四则运算题目350: 3+13=
351、四则运算题目351: 20-14+37=
352、四则运算题目352: 2-0-0=
353、四则运算题目353: 57+63=
354、四则运算题目354: 20-15-1=
355、四则运算题目355: 31-3+79=
356、四则运算题目356: 54+63-24=
357、四则运算题目357: 47+62=
358、四则运算题目358: 77+71-32=
359、四则运算题目359: 7+51=
360、四则运算题目360: 92-9=
361、四则运算题目361: 88+30-25=
362、四则运算题目362: 62-17+50=
363、四则运算题目363: 55-6=
364、四则运算题目364: 86+33=
365、四则运算题目365: 37-28+21=
366、四则运算题目366: 33+97-63=
367、四则运算题目367: 5-0+99=
368、四则运算题目368: 92-8+39=
369、四则运算题目369: 16+50=
370、四则运算题目370: 80+61-76=
371、四则运算题目371: 60-53=
372、四则运算题目372: 77+95-26=
373、四则运算题目373: 42+42=
374、四则运算题目374: 90-68=
375、四则运算题目375: 24-10+67=
376、四则运算题目376: 20-3-5=
377、四则运算题目377: 73-68=
378、四则运算题目378: 2+24=
379、四则运算题目379: 39-5=
380、四则运算题目380: 80-38+44=
381、四则运算题目381: 42+79=
382、四则运算题目382: 17-6=
383、四则运算题目383: 65+12=
384、四则运算题目384: 60+31-82=
385、四则运算题目385: 57-15=
386、四则运算题目386: 7-2-0=
387、四则运算题目387: 53-50=
388、四则运算题目388: 62+48-53=
389、四则运算题目389: 8-4=
390、四则运算题目390: 73-46-27=
391、四则运算题目391: 10-9-1=
392、四则运算题目392: 25-16-9=
393、四则运算题目393: 92-26=
394、四则运算题目394: 74-6-44=
395、四则运算题目395: 33-10=
396、四则运算题目396: 80-19+41=
397、四则运算题目397: 40-30-5=
398、四则运算题目398: 85-18=
399、四则运算题目399: 80+77=
400、四则运算题目400: 24+29=
401、四则运算题目401: 57+60=
402、四则运算题目402: 61+86=
403、四则运算题目403: 83+29=
404、四则运算题目404: 20+24+88=
405、四则运算题目405: 40-10=
406、四则运算题目406: 32-24+32=
407、四则运算题目407: 50-37-1=
408、四则运算题目408: 11+43=
409、四则运算题目409: 2-0=
410、四则运算题目410: 58+20=
411、四则运算题目411: 24+38+80=
412、四则运算题目412: 60+28=
413、四则运算题目413: 25-15-2=
414、四则运算题目414: 29+91=
415、四则运算题目415: 67+66-41=
416、四则运算题目416: 27+57-15=
417、四则运算题目417: 38+75-77=
418、四则运算题目418: 48+98+64=
419、四则运算题目419: 45-28+99=
420、四则运算题目420: 56+66=
421、四则运算题目421: 9-6+7=
422、四则运算题目422: 44-10=
423、四则运算题目423: 91+7-53=
424、四则运算题目424: 95-50+77=
425、四则运算题目425: 99-29=
426、四则运算题目426: 53-52-1=
427、四则运算题目427: 92-61=
428、四则运算题目428: 72-46+17=
429、四则运算题目429: 78+85+34=
430、四则运算题目430: 83-24=
431、四则运算题目431: 68+35=
432、四则运算题目432: 66-30-5=
433、四则运算题目433: 30+73+93=
434、四则运算题目434: 6-3=
435、四则运算题目435: 41-2=
436、四则运算题目436: 44+12-17=
437、四则运算题目437: 44+54=
438、四则运算题目438: 39+4-34=
439、四则运算题目439: 7-3=
440、四则运算题目440: 57+51+17=
441、四则运算题目441: 40-39-1=
442、四则运算题目442: 85+98-48=
443、四则运算题目443: 85-3+62=
444、四则运算题目444: 39-31=
445、四则运算题目445: 92+61=
446、四则运算题目446: 78+88+15=
447、四则运算题目447: 34-22+91=
448、四则运算题目448: 81+55-65=
449、四则运算题目449: 67+68=
450、四则运算题目450: 55-3=
451、四则运算题目451: 80-80=
452、四则运算题目452: 97-76=
453、四则运算题目453: 70-7=
454、四则运算题目454: 44-17=
455、四则运算题目455: 4+33+9=
456、四则运算题目456: 81+98+46=
457、四则运算题目457: 12-3=
458、四则运算题目458: 96+8=
459、四则运算题目459: 93+77=
460、四则运算题目460: 85+82=
461、四则运算题目461: 39+60+52=
462、四则运算题目462: 38-29-7=
463、四则运算题目463: 83+82-97=
464、四则运算题目464: 10+97-21=
465、四则运算题目465: 59-18+19=
466、四则运算题目466: 40-27-1=
467、四则运算题目467: 55+33-17=
468、四则运算题目468: 86-62+37=
469、四则运算题目469: 42+86=
470、四则运算题目470: 46-30=
471、四则运算题目471: 83+25+51=
472、四则运算题目472: 97-86-2=
473、四则运算题目473: 59-44-3=
474、四则运算题目474: 13+61=
475、四则运算题目475: 4+26=
476、四则运算题目476: 78+51=
477、四则运算题目477: 36-13=
478、四则运算题目478: 21-7=
479、四则运算题目479: 6-0=
480、四则运算题目480: 61-30=
481、四则运算题目481: 57-35=
482、四则运算题目482: 37-26-5=
483、四则运算题目483: 33-14=
484、四则运算题目484: 16+51=
485、四则运算题目485: 22+27+30=
486、四则运算题目486: 58-3=
487、四则运算题目487: 12+98+76=
488、四则运算题目488: 22-2=
489、四则运算题目489: 0+79=
490、四则运算题目490: 84-17-54=
491、四则运算题目491: 72-60=
492、四则运算题目492: 45-3+93=
493、四则运算题目493: 5+84+78=
494、四则运算题目494: 65+18-39=
495、四则运算题目495: 13-8=
496、四则运算题目496: 29-0=
497、四则运算题目497: 50+25=
498、四则运算题目498: 69+18+91=
499、四则运算题目499: 44+60=
500、四则运算题目500: 27-7-3=
501、四则运算题目501: 20+34+25=
502、四则运算题目502: 23-21-2=
503、四则运算题目503: 14+2=
504、四则运算题目504: 93-73=
505、四则运算题目505: 17-0=
506、四则运算题目506: 50-23=
507、四则运算题目507: 83+45+56=
508、四则运算题目508: 43-43+84=
509、四则运算题目509: 35-23+34=
510、四则运算题目510: 54+70-75=
511、四则运算题目511: 70+4=
512、四则运算题目512: 61+73-49=
513、四则运算题目513: 23-19=
514、四则运算题目514: 81-46-3=
515、四则运算题目515: 50-25+91=
516、四则运算题目516: 53+5+19=
517、四则运算题目517: 55-40+69=
518、四则运算题目518: 90+38=
519、四则运算题目519: 5+1=
520、四则运算题目520: 99+57=
521、四则运算题目521: 31+19=
522、四则运算题目522: 98-67-12=
523、四则运算题目523: 16-5+95=
524、四则运算题目524: 3+29=
525、四则运算题目525: 64+25=
526、四则运算题目526: 74-31=
527、四则运算题目527: 3-0=
528、四则运算题目528: 99+24-13=
529、四则运算题目529: 42-28=
530、四则运算题目530: 46+28-6=
531、四则运算题目531: 12+92=
532、四则运算题目532: 80+31+74=
533、四则运算题目533: 70-19+82=
534、四则运算题目534: 34-28-1=
535、四则运算题目535: 60-19-19=
536、四则运算题目536: 4-2+40=
537、四则运算题目537: 79-39=
538、四则运算题目538: 32+93-95=
539、四则运算题目539: 40-6-19=
540、四则运算题目540: 53+97=
541、四则运算题目541: 78+70=
542、四则运算题目542: 33+36=
543、四则运算题目543: 65-18=
544、四则运算题目544: 66-12=
545、四则运算题目545: 57+71+32=
546、四则运算题目546: 90+25-94=
547、四则运算题目547: 70+68=
548、四则运算题目548: 75+27=
549、四则运算题目549: 8-6-2=
550、四则运算题目550: 87-4=
551、四则运算题目551: 68+79=
552、四则运算题目552: 43+86=
553、四则运算题目553: 53-2+23=
554、四则运算题目554: 4+45=
555、四则运算题目555: 88-18=
556、四则运算题目556: 42+42=
557、四则运算题目557: 10+56=
558、四则运算题目558: 66-65=
559、四则运算题目559: 45-24=
560、四则运算题目560: 97+24=
561、四则运算题目561: 6+46+40=
562、四则运算题目562: 48+65=
563、四则运算题目563: 93+15=
564、四则运算题目564: 80-59+77=
565、四则运算题目565: 3-3=
566、四则运算题目566: 17+55+52=
567、四则运算题目567: 90+1-9=
568、四则运算题目568: 76-70-4=
569、四则运算题目569: 40+83-16=
570、四则运算题目570: 36+75-95=
571、四则运算题目571: 47+2=
572、四则运算题目572: 62-53+29=
573、四则运算题目573: 60-54=
574、四则运算题目574: 0+33-22=
575、四则运算题目575: 68+25-36=
576、四则运算题目576: 75+71=
577、四则运算题目577: 4-2=
578、四则运算题目578: 74+30-28=
579、四则运算题目579: 38-13+5=
580、四则运算题目580: 81+81+64=
581、四则运算题目581: 87-83-0=
582、四则运算题目582: 29-4=
583、四则运算题目583: 94-26-30=
584、四则运算题目584: 9-4=
585、四则运算题目585: 3+48=
586、四则运算题目586: 13+29+69=
587、四则运算题目587: 67+97-70=
588、四则运算题目588: 81+55+20=
589、四则运算题目589: 42-32+7=
590、四则运算题目590: 14+50+65=
591、四则运算题目591: 10+20-24=
592、四则运算题目592: 63+63=
593、四则运算题目593: 20-19-1=
594、四则运算题目594: 1-0-1=
595、四则运算题目595: 51+6=
596、四则运算题目596: 1+12=
597、四则运算题目597: 28-5=
598、四则运算题目598: 80+23+94=
599、四则运算题目599: 88+20+43=
600、四则运算题目600: 62+0=
601、四则运算题目601: 33+59-86=
602、四则运算题目602: 70-28=
603、四则运算题目603: 11+39-23=
604、四则运算题目604: 47+73=
605、四则运算题目605: 22+75+72=
606、四则运算题目606: 81+18+86=
607、四则运算题目607: 61-33=
608、四则运算题目608: 19+92+73=
609、四则运算题目609: 56-7-39=
610、四则运算题目610: 88+10+67=
611、四则运算题目611: 61-16-11=
612、四则运算题目612: 92-14=
613、四则运算题目613: 14+25-35=
614、四则运算题目614: 70+85+39=
615、四则运算题目615: 65-19-32=
616、四则运算题目616: 28-10=
617、四则运算题目617: 94-56-15=
618、四则运算题目618: 97+98-74=
619、四则运算题目619: 96-14-67=
620、四则运算题目620: 74-20-20=
621、四则运算题目621: 22-4=
622、四则运算题目622: 2-0+31=
623、四则运算题目623: 13-2-2=
624、四则运算题目624: 7+46=
625、四则运算题目625: 82-44+64=
626、四则运算题目626: 25+27+82=
627、四则运算题目627: 12+98+7=
628、四则运算题目628: 74-13+85=
629、四则运算题目629: 16-10-4=
630、四则运算题目630: 34-25=
631、四则运算题目631: 45-7+46=
632、四则运算题目632: 94+84-86=
633、四则运算题目633: 10-4-1=
634、四则运算题目634: 25-11=
635、四则运算题目635: 50+77=
636、四则运算题目636: 9-4+24=
637、四则运算题目637: 50+31-6=
638、四则运算题目638: 14-9=
639、四则运算题目639: 78+50=
640、四则运算题目640: 18+96+30=
641、四则运算题目641: 30+75=
642、四则运算题目642: 9+7=
643、四则运算题目643: 32+43=
644、四则运算题目644: 43-30=
645、四则运算题目645: 43-28-14=
646、四则运算题目646: 9+5=
647、四则运算题目647: 51-21=
648、四则运算题目648: 1-0=
649、四则运算题目649: 2-0-0=
650、四则运算题目650: 31+56=
651、四则运算题目651: 81+19-20=
652、四则运算题目652: 72+46-24=
653、四则运算题目653: 89+65+32=
654、四则运算题目654: 91-84+70=
655、四则运算题目655: 46-4+47=
656、四则运算题目656: 84+68-67=
657、四则运算题目657: 19-13-1=
658、四则运算题目658: 58+97-89=
659、四则运算题目659: 35+17-16=
660、四则运算题目660: 10-7+61=
661、四则运算题目661: 39-18-1=
662、四则运算题目662: 8-8+99=
663、四则运算题目663: 77+59=
664、四则运算题目664: 26-13-4=
665、四则运算题目665: 55-36+49=
666、四则运算题目666: 96+25-87=
667、四则运算题目667: 24-19=
668、四则运算题目668: 12+47+64=
669、四则运算题目669: 25-11+75=
670、四则运算题目670: 60+95-66=
671、四则运算题目671: 72+62+31=
672、四则运算题目672: 51-50+76=
673、四则运算题目673: 5+55-5=
674、四则运算题目674: 36+41+96=
675、四则运算题目675: 56+4-58=
676、四则运算题目676: 56-53=
677、四则运算题目677: 71+90-9=
678、四则运算题目678: 12-6+20=
679、四则运算题目679: 36-15+66=
680、四则运算题目680: 98+86+91=
681、四则运算题目681: 67-56+68=
682、四则运算题目682: 36-23=
683、四则运算题目683: 19+15-13=
684、四则运算题目684: 65-34=
685、四则运算题目685: 31+96-72=
686、四则运算题目686: 14-5-9=
687、四则运算题目687: 39+84-96=
688、四则运算题目688: 27-15=
689、四则运算题目689: 2+61=
690、四则运算题目690: 62-54=
691、四则运算题目691: 34+33=
692、四则运算题目692: 34-13=
693、四则运算题目693: 7-6=
694、四则运算题目694: 23+15=
695、四则运算题目695: 36-9=
696、四则运算题目696: 9-6+90=
697、四则运算题目697: 50+81=
698、四则运算题目698: 78-52-19=
699、四则运算题目699: 91+60=
700、四则运算题目700: 64-46-2=
701、四则运算题目701: 72-5+78=
702、四则运算题目702: 11-9+69=
703、四则运算题目703: 25+49-32=
704、四则运算题目704: 26-4=
705、四则运算题目705: 88-76=
706、四则运算题目706: 93+46+72=
707、四则运算题目707: 16+44-34=
708、四则运算题目708: 81-14=
709、四则运算题目709: 43+63=
710、四则运算题目710: 36+23=
711、四则运算题目711: 29+49=
712、四则运算题目712: 18-0=
713、四则运算题目713: 20+30+71=
714、四则运算题目714: 3-2-0=
715、四则运算题目715: 83+9-83=
716、四则运算题目716: 19-4-8=
717、四则运算题目717: 15+15+86=
718、四则运算题目718: 76+7-49=
719、四则运算题目719: 47+59=
720、四则运算题目720: 9+53+80=
721、四则运算题目721: 69-57-5=
722、四则运算题目722: 60-43=
723、四则运算题目723: 28-6+74=
724、四则运算题目724: 87+85=
725、四则运算题目725: 4-2=
726、四则运算题目726: 35+34=
727、四则运算题目727: 88+40+47=
728、四则运算题目728: 56+33-68=
729、四则运算题目729: 63-53+68=
730、四则运算题目730: 47+41=
731、四则运算题目731: 86+97=
732、四则运算题目732: 34+53=
733、四则运算题目733: 8-3=
734、四则运算题目734: 10-7=
735、四则运算题目735: 91+96+6=
736、四则运算题目736: 26-24=
737、四则运算题目737: 74+70=
738、四则运算题目738: 94+69=
739、四则运算题目739: 25+78=
740、四则运算题目740: 99-57-11=
741、四则运算题目741: 19-2=
742、四则运算题目742: 51+28+10=
743、四则运算题目743: 99+14=
744、四则运算题目744: 75+47-67=
745、四则运算题目745: 0-0-0=
746、四则运算题目746: 81+19=
747、四则运算题目747: 60-60+26=
748、四则运算题目748: 58-54+27=
749、四则运算题目749: 24-3=
750、四则运算题目750: 23-17=
751、四则运算题目751: 86-19-24=
752、四则运算题目752: 98+99-22=
753、四则运算题目753: 51-23=
754、四则运算题目754: 66+18=
755、四则运算题目755: 92-50-1=
756、四则运算题目756: 87+73=
757、四则运算题目757: 50+40+19=
758、四则运算题目758: 93+39+97=
759、四则运算题目759: 78-67-4=
760、四则运算题目760: 2+35+11=
761、四则运算题目761: 97-9=
762、四则运算题目762: 96+34+24=
763、四则运算题目763: 4+58+84=
764、四则运算题目764: 6-4=
765、四则运算题目765: 81-25-14=
766、四则运算题目766: 93-69-11=
767、四则运算题目767: 77+74-22=
768、四则运算题目768: 62+57+67=
769、四则运算题目769: 45+16=
770、四则运算题目770: 35-17+19=
771、四则运算题目771: 13-9=
772、四则运算题目772: 88+47-28=
773、四则运算题目773: 25-22=
774、四则运算题目774: 55-34=
775、四则运算题目775: 22-5=
776、四则运算题目776: 34-19+38=
777、四则运算题目777: 51+63-88=
778、四则运算题目778: 22+0=
779、四则运算题目779: 6+17-13=
780、四则运算题目780: 15-10=
781、四则运算题目781: 10+10-2=
782、四则运算题目782: 37-1-28=
783、四则运算题目783: 48-30=
784、四则运算题目784: 3+88=
785、四则运算题目785: 17+77+10=
786、四则运算题目786: 33-18=
787、四则运算题目787: 94-55=
788、四则运算题目788: 0-0-0=
789、四则运算题目789: 72-31=
790、四则运算题目790: 67+81=
791、四则运算题目791: 41-8=
792、四则运算题目792: 21-15-1=
793、四则运算题目793: 95+60=
794、四则运算题目794: 47+71=
795、四则运算题目795: 28-2-8=
796、四则运算题目796: 57+46=
797、四则运算题目797: 58-40=
798、四则运算题目798: 74+28+41=
799、四则运算题目799: 9+82-84=
800、四则运算题目800: 20+75=
801、四则运算题目801: 17+53=
802、四则运算题目802: 93-26+62=
803、四则运算题目803: 48-3=
804、四则运算题目804: 25-5+22=
805、四则运算题目805: 93+71+21=
806、四则运算题目806: 89-38+70=
807、四则运算题目807: 3-2=
808、四则运算题目808: 38-2+40=
809、四则运算题目809: 1+4=
810、四则运算题目810: 58-11=
811、四则运算题目811: 61+61=
812、四则运算题目812: 40+60=
813、四则运算题目813: 19-4+6=
814、四则运算题目814: 46-6=
815、四则运算题目815: 54-35-7=
816、四则运算题目816: 90-87=
817、四则运算题目817: 66+2=
818、四则运算题目818: 88+0=
